listener,listener_trial,mturk_worker,mturk_trial,level_condition,noise_condition,sound_heard,listener_response,mturk_response,proportion_correct,typical_source_intensity
1,56,60,3,6,0,duck quack,placing a bunch of marble rocks on a table,duck quack,1,3
1,56,702,4,6,0,duck quack,placing a bunch of marble rocks on a table,duck quack,1,3
1,57,101,46,5,0,chopping food,heels walking on a wooden floor,chopping food,1,low-intensity
1,57,508,27,5,0,chopping food,heels walking on a wooden floor,chopping food,1,low-intensity
1,59,475,11,6,0,dialup,really loud musical noise,dialup,0.5,3
1,59,883,11,6,0,dialup,really loud musical noise,microwave,0.5,3
1,61,58,37,2,0,morse code,sketching with a sharp pencil,morse code,1,3
1,61,652,19,2,0,morse code,sketching with a sharp pencil,morse code,1,3
1,62,680,31,7,0,church bells,bass guitar,church bells,1,high-intensity
1,62,810,21,7,0,church bells,bass guitar,church bells,1,high-intensity
1,63,101,29,2,0,film reel,a mouse scratching the surface of a bed,film reel,1,3
1,63,514,19,2,0,film reel,a mouse scratching the surface of a bed,film reel,1,3
1,65,283,10,6,1,chicken cluck,jazz,chicken cluck,1,2
1,65,432,12,6,1,chicken cluck,jazz,chicken cluck,1,2
1,66,641,6,4,1,elevator door,the wire coiled door stop thing being agitated,elevator door,1,2
1,66,680,29,4,1,elevator door,the wire coiled door stop thing being agitated,elevator door,1,2
1,70,42,6,3,1,cash register,an old movie film soundclip,cash register,1,2
1,70,720,24,3,1,cash register,an old movie film soundclip,cash register,1,2
1,72,210,29,4,0,soda pouring into a cup,a cat purring,soda pouring into a cup,1,low-intensity
1,72,771,33,4,0,soda pouring into a cup,a cat purring,soda pouring into a cup,1,low-intensity
1,73,260,14,5,1,pepper grinder,sirens in the distance,ice machine,0.5,2
1,73,324,33,5,1,pepper grinder,sirens in the distance,pepper grinder,0.5,2
1,74,349,28,2,0,whistle,paper clip falling into a metal cup,whistle,1,high-intensity
1,74,597,42,2,0,whistle,paper clip falling into a metal cup,whistle,1,high-intensity
1,75,407,49,6,1,oboe,a television reporter speaking spanish,oboe,1,3
1,75,417,21,6,1,oboe,a television reporter speaking spanish,oboe,1,3
1,76,688,41,6,0,ice in cup,typing on a keyboard,ice in cup,1,low-intensity
1,76,858,44,6,0,ice in cup,typing on a keyboard,ice in cup,1,low-intensity
1,78,333,32,2,0,plane taking off,ding noise and paper crackling,plane taking off,1,high-intensity
1,78,778,13,2,0,plane taking off,ding noise and paper crackling,plane taking off,1,high-intensity
1,80,417,41,7,1,orchestra tuning,a horse clopping on cement,orchestra tuning,1,high-intensity
1,80,849,13,7,1,orchestra tuning,a horse clopping on cement,orchestra tuning,1,high-intensity
1,81,622,35,5,1,chair rolling,an a cappella group,chair rolling,1,low-intensity
1,81,833,28,5,1,chair rolling,an a cappella group,chair rolling,1,low-intensity
1,83,620,9,7,1,humming,a bass guitar turned up way too high,humming,1,low-intensity
1,83,720,13,7,1,humming,a bass guitar turned up way too high,humming,1,low-intensity
1,85,159,21,6,0,camera taking a picture,frogs croaking and crickets chirping,camera turning on,0.5,2
1,85,181,50,6,0,camera taking a picture,frogs croaking and crickets chirping,camera taking a picture,0.5,2
1,86,108,14,5,1,chopping wood,a over-the-stove water boiler announcing that the water is done boiling,bike bell,0.5,3
1,86,283,12,5,1,chopping wood,a over-the-stove water boiler announcing that the water is done boiling,chopping wood,0.5,3
1,89,228,22,7,0,cello,car beeping noises during rush hour,cello,1,3
1,89,630,6,7,0,cello,car beeping noises during rush hour,cello,1,3
1,90,6,48,7,1,finger tapping,a very windy day with winds howling in the distance,keys jingling,0,low-intensity
1,90,514,38,7,1,finger tapping,a very windy day with winds howling in the distance,hand saw,0,low-intensity
1,91,309,27,5,0,explosion,horses clopping on wet pebble floor,explosion,1,high-intensity
1,91,846,12,5,0,explosion,horses clopping on wet pebble floor,explosion,1,high-intensity
1,92,475,22,3,1,walking on leaves,a change machine spitting out a bunch of change,walking on leaves,1,2
1,92,702,24,3,1,walking on leaves,a change machine spitting out a bunch of change,walking on leaves,1,2
1,94,216,22,3,0,drinking,setting the springs,horse neighing,0,low-intensity
1,94,438,11,3,0,drinking,setting the springs,crowd booing,0,low-intensity
1,95,573,25,2,0,opening a letter,a woman speaking in a foreign language,opening a letter,1,low-intensity
1,95,782,50,2,0,opening a letter,a woman speaking in a foreign language,opening a letter,1,low-intensity
1,97,159,15,3,0,lion growl,bagpipes,lion growl,1,high-intensity
1,97,265,28,3,0,lion growl,bagpipes,lion growl,1,high-intensity
1,98,216,15,3,1,chiseling,filling espresso beans into a paper funnel,triangle,0.5,2
1,98,541,13,3,1,chiseling,filling espresso beans into a paper funnel,chiseling,0.5,2
1,99,379,46,2,0,popcorn popping,a dog whining for food,cash register,0,3
1,99,629,22,2,0,popcorn popping,a dog whining for food,roulette wheel,0,3
1,101,508,1,6,1,dog drinking,piano chords being played,dog drinking,1,2
1,101,696,30,6,1,dog drinking,piano chords being played,dog drinking,1,2
1,102,698,7,3,0,dial tone,paper crinkling right before you turn them,dial tone,1,low-intensity
1,102,740,39,3,0,dial tone,paper crinkling right before you turn them,dial tone,1,low-intensity
1,103,475,42,6,0,hair dryer,a coin rolling on a smooth surface,hair dryer,1,high-intensity
1,103,690,14,6,0,hair dryer,a coin rolling on a smooth surface,hair dryer,1,high-intensity
1,104,629,4,6,1,drink fizzing,rain falling onto a puddle,screwing in a nail,0,low-intensity
1,104,833,35,6,1,drink fizzing,rain falling onto a puddle,crumpling paper,0,low-intensity
1,105,258,26,2,1,clarinet,collecting change from a table,clarinet,1,3
1,105,814,13,2,1,clarinet,collecting change from a table,clarinet,1,3
1,106,265,24,6,1,newspaper page turning,spanish speakers at a distance,newspaper page turning,1,low-intensity
1,106,867,37,6,1,newspaper page turning,spanish speakers at a distance,newspaper page turning,1,low-intensity
1,109,454,25,7,0,car engine starting,a low clock chime at the hour,car engine starting,1,3
1,109,609,41,7,0,car engine starting,a low clock chime at the hour,car engine starting,1,3
1,110,431,5,5,0,scissors cutting paper,an oboe,scissors cutting paper,0.5,low-intensity
1,110,833,23,5,0,scissors cutting paper,an oboe,hand saw,0.5,low-intensity
1,112,630,43,3,1,reception desk bell,an electric drill,reception desk bell,1,3
1,112,828,44,3,1,reception desk bell,an electric drill,reception desk bell,1,3
1,115,609,24,4,0,doorbell,pouring liquid into a cup,doorbell,1,high-intensity
1,115,867,46,4,0,doorbell,pouring liquid into a cup,doorbell,1,high-intensity
1,116,379,43,4,1,ice machine,a young child exclaiming something,ice machine,1,2
1,116,454,44,4,1,ice machine,a young child exclaiming something,ice machine,1,2
1,117,186,10,3,0,ping pong,car breaks screeching,ping pong,1,3
1,117,438,43,3,0,ping pong,car breaks screeching,ping pong,1,3
1,118,349,25,7,0,bus accelerating,toilet flushing,bus accelerating,1,2
1,118,454,40,7,0,bus accelerating,toilet flushing,bus accelerating,1,2
1,120,69,42,3,1,acoustic bass,door bell,acoustic bass,1,2
1,120,353,33,3,1,acoustic bass,door bell,acoustic bass,1,2
1,122,110,10,3,0,door creaking,a coil of wire being set,door creaking,1,2
1,122,179,10,3,0,door creaking,a coil of wire being set,door creaking,1,2
1,123,678,18,4,0,bass drum hits,a game clock being set off,slot machine,0,high-intensity
1,123,917,48,4,0,bass drum hits,a game clock being set off,water dripping,0,high-intensity
1,124,118,48,5,0,boat horn,chickens clucking,boat horn,0.5,high-intensity
1,124,240,39,5,0,boat horn,chickens clucking,car deccelerating,0.5,high-intensity
1,125,469,17,2,1,bicycle,foot steps walking on gravel after the rain,fax,0,low-intensity
1,125,820,48,2,1,bicycle,foot steps walking on gravel after the rain,balloon deflating,0,low-intensity
1,126,210,42,4,0,dialing,a spray of air followed by footsteps,dialing,1,low-intensity
1,126,652,22,4,0,dialing,a spray of air followed by footsteps,dialing,1,low-intensity
1,128,142,17,2,0,dog whining,pigs making an oinking noise,rattlesnake,0.5,3
1,128,917,12,2,0,dog whining,pigs making an oinking noise,dog whining,0.5,3
1,129,325,32,5,0,motorcycle revving,air making a low rumble,motorcycle revving,1,high-intensity
1,129,771,22,5,0,motorcycle revving,air making a low rumble,motorcycle revving,1,high-intensity
1,136,266,13,2,0,giggling,annoying scratching noise,giggling,1,3
1,136,776,23,2,0,giggling,annoying scratching noise,giggling,1,3
1,138,711,12,5,1,biting and chewing,an ominous knocking sound on metal,biting and chewing,0.5,2
1,138,778,41,5,1,biting and chewing,an ominous knocking sound on metal,window blinds,0.5,2
1,140,379,5,7,0,wing flapping,a shrill scream,geese honking,0,low-intensity
1,140,900,7,7,0,wing flapping,a shrill scream,stones tumbling,0,low-intensity
1,141,42,39,3,0,grunting and groaning,a cymbal crash from a drumset,grunting and groaning,1,2
1,141,472,40,3,0,grunting and groaning,a cymbal crash from a drumset,grunting and groaning,1,2
1,142,153,43,2,1,bear growling,footsteps coming into a door,horse neighing,0,3
1,142,828,40,2,1,bear growling,footsteps coming into a door,duck quack,0,3
1,143,74,20,4,1,grating food,finishing the remainder of a drink through a straw,grating food,0.5,low-intensity
1,143,228,29,4,1,grating food,finishing the remainder of a drink through a straw,hand saw,0.5,low-intensity
1,146,142,16,4,0,blender,a drum cadence,blender,1,high-intensity
1,146,762,10,4,0,blender,a drum cadence,blender,1,high-intensity
1,153,204,30,5,1,coffee machine,laughter,coffee machine,1,low-intensity
1,153,740,2,5,1,coffee machine,laughter,coffee machine,1,low-intensity
1,154,37,13,7,1,cat meow,very loud knocking noise,cat meow,0.5,2
1,154,60,13,7,1,cat meow,very loud knocking noise,car horn,0.5,2
1,155,814,7,7,1,bowling,a low rumble of air,bowling,1,high-intensity
1,155,899,19,7,1,bowling,a low rumble of air,bowling,1,high-intensity
1,159,216,28,7,1,drawer closing,buzzing noises,key opening door,0,low-intensity
1,159,444,6,7,1,drawer closing,buzzing noises,scratching,0,low-intensity
1,160,101,5,7,1,turning a lock,mechanical noises,pool balls colliding,0,low-intensity
1,160,573,32,7,1,turning a lock,mechanical noises,typing,0,low-intensity
1,161,678,11,5,0,flute,a flock of hungry birds begging for food from bystanders,mac startup sound,0.5,3
1,161,698,28,5,0,flute,a flock of hungry birds begging for food from bystanders,flute,0.5,3
1,162,439,37,2,1,coins dropping,a very low mechnical noise,coins dropping,0.5,low-intensity
1,162,597,44,2,1,coins dropping,a very low mechnical noise,locker closing,0.5,low-intensity
1,163,51,14,7,1,lawn mower,a dril,rubbing cloth,0.5,high-intensity
1,163,262,26,7,1,lawn mower,a dril,lawn mower,0.5,high-intensity
1,165,74,43,7,0,locker closing,cutting carrots,locker closing,1,3
1,165,240,37,7,0,locker closing,cutting carrots,locker closing,1,3
1,166,159,45,4,0,organ,water pouring from an open container onto gravel,orchestra tuning,0.5,high-intensity
1,166,677,39,4,0,organ,water pouring from an open container onto gravel,organ,0.5,high-intensity
1,168,50,8,7,1,pager beeps,music at a distance,keys jingling,0.5,3
1,168,415,45,7,1,pager beeps,music at a distance,pager beeps,0.5,3
1,170,149,36,4,0,dog barking,vegetable peeler,dog barking,1,high-intensity
1,170,563,2,4,0,dog barking,vegetable peeler,dog barking,1,high-intensity
1,171,308,23,6,0,cow mooing,an angry grad student who slams his backpack onto his empty metal desk,cow mooing,1,3
1,171,696,6,6,0,cow mooing,an angry grad student who slams his backpack onto his empty metal desk,cow mooing,1,3
1,172,645,12,5,1,fax,a hammer shapping hot metal,crumpling paper,0,2
1,172,883,5,5,1,fax,a hammer shapping hot metal,hammering a nail,0,2
1,173,354,37,4,1,crying,turning of newspaper,crying,1,high-intensity
1,173,564,45,4,1,crying,turning of newspaper,crying,1,high-intensity
1,174,266,3,5,1,rocking chair,howling wind,rocking chair,1,3
1,174,630,16,5,1,rocking chair,howling wind,rocking chair,1,3
1,175,153,21,3,0,drum solo,leaning back and forth in an office chair,drum solo,1,high-intensity
1,175,571,27,3,0,drum solo,leaning back and forth in an office chair,drum solo,1,high-intensity
1,177,353,42,4,1,dishes clanking,a metal latch being set,dishes clanking,1,3
1,177,630,10,4,1,dishes clanking,a metal latch being set,dishes clanking,1,3
1,178,142,50,4,1,balloon deflating,dog drinking from water bowl,balloon deflating,0.5,2
1,178,810,36,4,1,balloon deflating,dog drinking from water bowl,music box,0.5,2
1,179,110,41,6,1,toilet flushing,wine being poured into a shot glass,toilet flushing,1,2
1,179,500,19,6,1,toilet flushing,wine being poured into a shot glass,toilet flushing,1,2
1,180,439,44,5,0,drawer opening,doppler's effect,drawer opening,0.5,low-intensity
1,180,594,30,5,0,drawer opening,doppler's effect,tap dancing,0.5,low-intensity
1,181,325,2,4,1,car alarm,liquid flowing through a hollow tube,car alarm,1,high-intensity
1,181,820,10,4,1,car alarm,liquid flowing through a hollow tube,car alarm,1,high-intensity
1,182,417,6,7,0,printing,a handheld lawn mowing device being revved up,coffee machine,0,3
1,182,814,19,7,0,printing,a handheld lawn mowing device being revved up,scrubbing dishes,0,3
1,183,439,6,7,1,crowd cheering,a microwave starting,soda pouring into a cup,0,high-intensity
1,183,469,43,7,1,crowd cheering,a microwave starting,ice in cup,0,high-intensity
1,184,109,10,4,0,air hockey,office chair creaking,oldfashioned dialer,0.5,3
1,184,475,9,4,0,air hockey,office chair creaking,air hockey,0.5,3
1,185,283,8,4,1,key opening door,child wooden toy blocks hitting against each other,rocking chair,0,low-intensity
1,185,349,50,4,1,key opening door,child wooden toy blocks hitting against each other,newspaper page turning,0,low-intensity
1,186,138,20,2,1,grandfather clock,trying to pull out a metal knife from a bunch of other metal knives in a drawer,grandfather clock,1,3
1,186,407,3,2,1,grandfather clock,trying to pull out a metal knife from a bunch of other metal knives in a drawer,grandfather clock,1,3
1,187,325,19,4,1,clipping hair,a chopstick scraping against another wooden bowl,clipping hair,1,low-intensity
1,187,667,49,4,1,clipping hair,a chopstick scraping against another wooden bowl,clipping hair,1,low-intensity
1,189,149,7,5,1,horse neighing,a large vehicle backing up,horse neighing,1,3
1,189,240,17,5,1,horse neighing,a large vehicle backing up,horse neighing,1,3
1,191,688,42,3,1,water boiling,elevator beeping sounds,gargling,0.5,low-intensity
1,191,867,34,3,1,water boiling,elevator beeping sounds,water boiling,0.5,low-intensity
1,193,143,46,5,1,bus decelerating,flute playing a lovely sonata,tree falling,0,3
1,193,920,39,5,1,bus decelerating,flute playing a lovely sonata,ice machine,0,3
1,194,417,33,7,1,inflating a balloon,an flustered dog barking,inflating a balloon,1,low-intensity
1,194,849,20,7,1,inflating a balloon,an flustered dog barking,inflating a balloon,1,low-intensity
1,195,138,14,4,1,jumping rope,white noise,walking with heels,0,2
1,195,240,47,4,1,jumping rope,white noise,knocking on door,0,2
1,198,260,47,6,1,kettle whistling,a ball bouncing against a hard wood table,cat meow,0.5,3
1,198,900,27,6,1,kettle whistling,a ball bouncing against a hard wood table,kettle whistling,0.5,3
1,199,353,40,6,0,alarm clock,dentist air spraying thing and dentist tooth drill,alarm clock,1,high-intensity
1,199,413,15,6,0,alarm clock,dentist air spraying thing and dentist tooth drill,alarm clock,1,high-intensity
1,201,552,49,5,0,car accelerating,a stream of water flowing onto dirt,car accelerating,1,2
1,201,833,34,5,0,car accelerating,a stream of water flowing onto dirt,car accelerating,1,2
1,204,142,46,6,0,car idling,a man stretching,phone vibrating,0,low-intensity
1,204,431,12,6,0,car idling,a man stretching,train warning bell,0,low-intensity
1,205,101,11,2,1,heart monitor,railroad crossing guards coming down,heart monitor,1,3
1,205,438,39,2,1,heart monitor,railroad crossing guards coming down,heart monitor,1,3
1,208,69,43,3,0,cricket,stepping through a bunch of dried leaves and foliage,cricket,1,2
1,208,552,26,3,0,cricket,stepping through a bunch of dried leaves and foliage,cricket,1,2
1,210,37,31,5,0,car skidding,harmonious guitar chords being strummed,car skidding,1,high-intensity
1,210,858,5,5,0,car skidding,harmonious guitar chords being strummed,car skidding,1,high-intensity
1,212,153,5,7,1,opening a soda bottle,a man speaking spanish in the distance,opening a soda bottle,0.5,low-intensity
1,212,343,34,7,1,opening a soda bottle,a man speaking spanish in the distance,popcorn popping,0.5,low-intensity
1,213,645,6,2,1,gong,hair,gong,1,high-intensity
1,213,711,35,2,1,gong,hair,gong,1,high-intensity
1,214,379,44,5,0,fire alarm,a stereotypical school bell ringing,triangle,0.5,high-intensity
1,214,407,33,5,0,fire alarm,a stereotypical school bell ringing,fire alarm,0.5,high-intensity
1,215,343,2,7,0,coin in a vending machine,settling into a squeaky leather sofa,keys jingling,0.5,low-intensity
1,215,705,39,7,0,coin in a vending machine,settling into a squeaky leather sofa,coin in a vending machine,0.5,low-intensity
1,216,137,34,7,0,basketball dribbling,sliding a door shut,walking with heels,0,2
1,216,283,35,7,0,basketball dribbling,sliding a door shut,chopping wood,0,2
1,217,123,40,2,1,microwave,rubbing hands rapidly together to keep hands warm,microwave,1,low-intensity
1,217,890,21,2,1,microwave,rubbing hands rapidly together to keep hands warm,microwave,1,low-intensity
1,219,451,18,5,0,knives sharpening,creaking chairs,scrubbing dishes,0.5,2
1,219,475,14,5,0,knives sharpening,creaking chairs,knives sharpening,0.5,2
1,220,500,9,7,0,music box,winding up a spring,music box,1,low-intensity
1,220,820,24,7,0,music box,winding up a spring,music box,1,low-intensity
1,221,118,46,4,1,jackhammer,static signal on a radio,jackhammer,0.5,high-intensity
1,221,159,26,4,1,jackhammer,static signal on a radio,electric drill,0.5,high-intensity
1,222,92,18,7,1,hawk screech,a factory making legos,hawk screech,1,3
1,222,260,50,7,1,hawk screech,a factory making legos,hawk screech,1,3
1,223,101,30,5,1,race car,applause from a small audience,race car,0.5,high-intensity
1,223,266,28,5,1,race car,applause from a small audience,alarm clock,0.5,high-intensity
1,224,37,17,2,0,frying,a farm with a cow and lamb noise,rain,0,2
1,224,353,4,2,0,frying,a farm with a cow and lamb noise,slicing bread,0,2
1,226,308,15,7,0,clock ticking,knocking on wood  literally,castanet,0,low-intensity
1,226,593,43,7,0,clock ticking,knocking on wood  literally,tambourine,0,low-intensity
1,227,324,15,4,1,pinball,a low rumbling sound of air through a hollow channel,church bells,0,high-intensity
1,227,740,48,4,1,pinball,a low rumbling sound of air through a hollow channel,rubbing cloth,0,high-intensity
1,228,325,38,2,0,water dripping,rattling noise of a rattlesnake,water dripping,0.5,low-intensity
1,228,688,7,2,0,water dripping,rattling noise of a rattlesnake,water splashing,0.5,low-intensity
1,229,718,26,7,0,castanet,a beautiful harp arpeggio,film reel,0,3
1,229,820,17,7,0,castanet,a beautiful harp arpeggio,chopping food,0,3
1,230,413,31,6,1,kid speaking,typewriter,kid speaking,1,3
1,230,762,46,6,1,kid speaking,typewriter,kid speaking,1,3
1,231,262,4,3,1,leather coat,a toddler crying 'da da da da da',writing on a chalkboard,0,low-intensity
1,231,431,4,3,1,leather coat,a toddler crying 'da da da da da',balloon deflating,0,low-intensity
1,232,379,22,6,0,shoveling,a cellphone beeping ring tone,shower,0,2
1,232,541,43,6,0,shoveling,a cellphone beeping ring tone,truck,0,2
1,233,50,24,4,0,marching,vegetable peeler,walking with heels,0,3
1,233,469,21,4,0,marching,vegetable peeler,chopping food,0,3
1,237,123,34,4,0,dentist drill,one of those bells that goes onto an office desk,dentist drill,1,high-intensity
1,237,605,49,4,0,dentist drill,one of those bells that goes onto an office desk,dentist drill,1,high-intensity
1,238,281,48,6,1,match lighting,an engine starting up,match lighting,0.5,low-intensity
1,238,858,8,6,1,match lighting,an engine starting up,peeling,0.5,low-intensity
1,239,149,19,5,0,chainsaw revving,a horse naying,chainsaw revving,1,high-intensity
1,239,431,18,5,0,chainsaw revving,a horse naying,chainsaw revving,1,high-intensity
1,241,514,15,6,0,guitar,a tambourine rattling out a beat,guitar,1,3
1,241,776,36,6,0,guitar,a tambourine rattling out a beat,guitar,1,3
1,242,213,1,6,1,brushing hair,a footstep into foliage,walking on leaves,0,low-intensity
1,242,702,45,6,1,brushing hair,a footstep into foliage,jumping rope,0,low-intensity
1,243,265,5,4,0,hammering metal,a drum roll,hammering metal,1,high-intensity
1,243,629,47,4,0,hammering metal,a drum roll,hammering metal,1,high-intensity
1,245,30,27,3,0,coughing,snoring,coughing,1,3
1,245,266,16,3,0,coughing,snoring,coughing,1,3
1,246,6,42,2,0,pool balls colliding,hand clappers being clapped to a beat,pool balls colliding,1,3
1,246,415,13,2,0,pool balls colliding,hand clappers being clapped to a beat,pool balls colliding,1,3
1,247,309,9,6,1,helicopter,a door creaking,helicopter,1,high-intensity
1,247,810,41,6,1,helicopter,a door creaking,helicopter,1,high-intensity
1,248,213,21,5,0,gavel hits,a police car siren,gavel hits,0.5,3
1,248,471,3,5,0,gavel hits,a police car siren,horse galloping,0.5,3
1,252,432,23,3,0,frog croaking,a very strong shaving razor,frog croaking,1,2
1,252,900,3,3,0,frog croaking,a very strong shaving razor,frog croaking,1,2
1,253,59,3,4,0,phone vibrating,a helicopter flying overhead,phone vibrating,1,low-intensity
1,253,99,22,4,0,phone vibrating,a helicopter flying overhead,phone vibrating,1,low-intensity
1,256,142,40,4,1,fire,sanding down a piece of wood,rubbing hands,0,low-intensity
1,256,778,21,4,1,fire,sanding down a piece of wood,flag,0,low-intensity
1,257,50,27,2,1,crow,sucking up the last of a drink through a straw,crow,1,3
1,257,889,12,2,1,crow,sucking up the last of a drink through a straw,crow,1,3
1,259,471,47,5,0,car deccelerating,desperate knocking on a hollow door,truck beeping,0,low-intensity
1,259,917,21,5,0,car deccelerating,desperate knocking on a hollow door,whistle,0,low-intensity
1,260,677,38,6,1,wind chimes,ice being placed into an empty glass cup,wind chimes,1,3
1,260,920,36,6,1,wind chimes,ice being placed into an empty glass cup,wind chimes,1,3
1,262,236,6,4,0,gorilla,water sloshing,gorilla,0.5,3
1,262,541,26,4,0,gorilla,water sloshing,horse neighing,0.5,3
1,265,143,27,6,1,drum roll,a handheld organ playing at disneylan,drum roll,1,high-intensity
1,265,772,9,6,1,drum roll,a handheld organ playing at disneylan,drum roll,1,high-intensity
1,266,99,36,3,1,cat purring,bird screeching noises flying overhead,cat purring,1,low-intensity
1,266,705,44,3,1,cat purring,bird screeching noises flying overhead,cat purring,1,low-intensity
1,269,500,43,2,0,cuckoo clock,a beginner trying to play a note into a trombone,cuckoo clock,1,3
1,269,883,7,2,0,cuckoo clock,a beginner trying to play a note into a trombone,cuckoo clock,1,3
1,271,645,10,6,0,oldfashioned dialer,opening up a soda can,oldfashioned dialer,1,low-intensity
1,271,702,49,6,0,oldfashioned dialer,opening up a soda can,oldfashioned dialer,1,low-intensity
1,272,51,19,4,1,paper cutter,birds shrieking overhead,paper cutter,0.5,low-intensity
1,272,451,20,4,1,paper cutter,birds shrieking overhead,frying,0.5,low-intensity
1,273,776,17,3,1,door opening,an old fashion door bell,door opening,1,2
1,273,849,22,3,1,door opening,an old fashion door bell,door opening,1,2
1,274,151,15,6,1,pig snorting,a long  blaring carhorn,pig snorting,1,3
1,274,387,16,6,1,pig snorting,a long  blaring carhorn,pig snorting,1,3
1,275,37,18,7,0,harmonica,fireworks going off in the distance,mac startup sound,0.5,3
1,275,810,48,7,0,harmonica,fireworks going off in the distance,harmonica,0.5,3
1,276,605,38,6,0,car horn,sandpaper scratching against wood,car horn,1,high-intensity
1,276,771,7,6,0,car horn,sandpaper scratching against wood,car horn,1,high-intensity
